pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p20411|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_def21
2020|12|017418|005|0125|11|01|8|1|20121101|1|1|2||1|61|6|5||1|2|13|12|2020|19|12|2020|30|8|1959|1|||||||||||||||423|7830|3|4|1|60|||2005|8|8|8|8|8|8|8|56|2|40|1|2|4|1300|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1300|0|||||1300|1300|1|257.757030136528
2020|12|017418|005|0125|11|03|8|1|20121103|3|1|2||2|27|6|5||3|3|13|12|2020|19|12|2020|8|7|1993|1|||||||||||||||951|7830|3|4|2||1|9|2020|0|8|8|8|8|8|8|48|1||2|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|391.719091271586
2020|12|017418|005|0126|11|02|8|1|20121102|3|1|2||1|19|7|2||2|2|6|12|2020|12|12|2020|3|3|2001|1|||||||||||||||572|4761|5|5|1|2|||2018|8|6|6|6|6|6|8|46|1||1|1|||||||||||||||||5|0|0|0|0|0|0|1|7|4|1|||||||0|0|1|404.137626640775
2020|12|017418|005|0127|11|03|8|1|20121103|3|1|2||1|23|6|5||3|3|6|12|2020|12|12|2020|6|5|1997|1|||||||||||||||864|4330|4|5|1|9|1|8|2020|0|8|8|8|8|8|8|48|1||2|1|2|300|0|||||1|||||||||5|0|0|0|0|0|0|1|7|4|1|1299|0|||||1299|1299|1|404.137626640775
2020|12|017473|004|0101|11|01|8|1|20121101|1|1|2||2|22|6|5||1|1|22|11|2020|28|11|2020|14|4|1998|1|||||||||||||||945|8890|3|2|2||1|11|2019|0|4|4|4|4|4|0|20|1||1|1|4|400|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|400|0|||||400|400|1|406.519730741935
2020|12|017473|004|0102|11|01|8|1|19121101|1|1|2||1|61|6|5||1|1|29|11|2020|5|12|2020|17|9|1959|1|||||||||||||||785|2432|4|5|2||1|6|2020|0|9|9|9|9|9|0|45|1||1|1|4|930|173|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|930|173|||||1103|1103|1|240.946789040667
2020|12|017473|004|0102|11|05|8|1|20121105|3|1|2||1|25|8|3||5|5|22|11|2020|28|11|2020|31|12|1994|1|||||||||||||||971|111|5|5|1|3|25|11|2020|0|0|0|5|5|5|0|15|1||1|2|||||||||||||||||1|0|0|0|0|0|0|1|6|4|1|||||||0|0|1|389.290459937959
2020|12|017477|004|0113|11|02|8|1|19121102|6|1|2||1|43|6|5||2|3|13|12|2020|19|12|2020|30|1|1977|1|||||||||||||||877|5229|4|5|2||1|10|2020|12|0|0|12|12|12|0|48|1||1|2|4|1200|139|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1200|139|||||1339|1339|1|389.290459937959
2020|12|017477|004|0113|11|03|8|1|19121103|9|1|2||2|34|8|5||3|3|13|12|2020|19|12|2020|17|11|1986|1|||||||||||||||243|8510|3|5|1|12|1|3|2020|0|8|8|8|8|8|0|40|1||1|2|4|900|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|900|0|||||900|900|1|366.172194014743
2020|12|017496|004|0104|11|01|8|1|19121101|1|1|2||2|36|10|5||1|4|29|11|2020|5|12|2020|20|5|1984|1|||||||||||||||239|8610|3|2|2||||2014|0|11|11|11|11|11|5|60|1||2|2|4|2000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|2000|0|||||2000|2000|1|366.172194014743
2020|12|017496|004|0106|11|02|8|1|19121102|2|1|2||1|63|6|5||2|2|29|11|2020|5|12|2020|2|3|1957|1|||||||||||||||766|1071|4|5|2||||1997|0|7|5|7|12|5|7|43|1||2|2|4|2200|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|2200|0|||||2200|2200|1|240.946789040667
2020|12|017496|004|0107|11|01|8|1|19121101|1|1|2||1|61|9|4||1|1|29|11|2020|5|12|2020|3|6|1959|1|||||||||||||||423|8521|3|5|1|10|4|3|2020|0|8|8|8|8|8|0|40|1||2|2|4|1000|0|||||1|||||||||4|0|0|0|0|0|0|1|6|4|1|1000|0|||||1000|1000|1|240.946789040667
2020|12|017496|004|0107|11|02|8|1|19121102|2|1|2||2|57|6|5||2|2|29|11|2020|5|12|2020|18|3|1963|1|||||||||||||||423|8521|3|5|1|10|4|3|2020|0|8|8|8|8|8|0|40|1||2|2|4|1000|0|||||1|||||||||4|0|0|0|0|0|0|1|6|4|1|1000|0|||||1000|1000|1|233.176171481374
2020|12|017548|004|0148|11|01|8|1|19121101|1|1|2||1|74|7|1||1|1|13|12|2020|19|12|2020|20|8|1946|1|||||||||||||||772|1410|5|5|1|2|20|11|2020|0|6|5|5|5|5|5|31|1||1|1|||||||||||||||||1|0|0|0|0|0|0|1|6|4|1|||||||0|0|1|240.946789040667
2020|12|017548|004|0149|11|01|8|1|19121101|1|1|2||1|51|8|3||1|1|13|12|2020|19|12|2020|24|9|1969|1|||||||||||||||12|8422|3|1|2||||1990|18|6|18|6|18|6|18|90|1||1|2|4|3000|208|||||1|||||||||4|0|0|0|0|0|0|1|6|4|1|3000|208|||||3208|3208|1|240.946789040667
2020|12|017548|004|0149|11|03|8|1|19121103|3|1|2||1|25|9|4||3|3|13|12|2020|19|12|2020|11|12|1995|1|||||||||||||||423|8412|3|2|2||2|9|2020|0|8|8|8|8|8|0|40|1||1|2|4|930|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|389.290459937959
2020|12|017548|004|0150|11|01|8|1|19121101|1|1|2||1|53|6|5||1|2|13|12|2020|19|12|2020|27|11|1967|1|||||||||||||||23|8423|3|1|2||||1993|18|6|18|6|18|6|18|90|1||1|2|4|3000|139|||||1|||||||||4|0|0|0|0|0|0|1|6|4|1|3000|139|||||3139|3139|1|240.946789040667
2020|12|017548|004|0150|11|03|8|1|19121104|3|1|2||2|27|9|4||3|4|13|12|2020|19|12|2020|26|10|1993|1|||||||||||||||572|4771|3|5|2||||2017|10|10|10|10|10|0|12|62|1||2|2|4|1500|50|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1500|50|||||1550|1550|1|366.172194014743
